,specimen_id,"env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)"
311,resinosa_3321,2.0,,16.0,
312,resinosa_3322,2.0,,16.0,
313,resinosa_3323,9.0,21.0,7.0,4.0
314,resinosa_3324,9.0,21.0,16.0,4.0
315,resinosa_3325,2.0,,6.0,4.0
316,resinosa_3326,2.0,,6.0,4.0
317,resinosa_3327,2.0,,6.0,4.0
318,resinosa_3328,10.0,11.0,16.0,3.0
319,resinosa_3329,10.0,7.0,14.0,2.0
320,resinosa_3330,2.0,21.0,16.0,3.0
321,resinosa_3331,,21.0,16.0,3.0
322,resinosa_3332,2.0,21.0,15.0,3.0
323,resinosa_3333,2.0,21.0,15.0,3.0
324,resinosa_3334,2.0,21.0,16.0,3.0
325,resinosa_3335,6.0,19.0,16.0,3.0
326,resinosa_3336,1.0,21.0,16.0,3.0
327,resinosa_3337,1.0,21.0,16.0,3.0
328,resinosa_3338,6.0,18.0,5.0,11.0
329,resinosa_3339,10.0,9.0,14.0,2.0
330,resinosa_3340,6.0,19.0,6.0,2.0
331,resinosa_3341,6.0,19.0,6.0,2.0
332,resinosa_3342,6.0,21.0,16.0,2.0
333,resinosa_3343,6.0,21.0,16.0,2.0
334,resinosa_3344,9.0,8.0,14.0,12.0
335,resinosa_3345,2.0,21.0,15.0,2.0
336,resinosa_3346,2.0,21.0,15.0,2.0
337,resinosa_3347,2.0,,16.0,2.0
338,resinosa_3348,10.0,12.0,16.0,2.0
339,resinosa_3349,10.0,12.0,16.0,2.0
340,resinosa_3350,10.0,21.0,16.0,2.0
341,resinosa_3351,10.0,10.0,16.0,2.0
342,resinosa_3352,1.0,21.0,15.0,2.0
343,resinosa_3353,1.0,21.0,15.0,2.0
344,resinosa_3354,1.0,21.0,16.0,2.0
345,resinosa_3355,1.0,19.0,16.0,2.0
346,resinosa_3356,10.0,9.0,14.0,1.0
347,resinosa_3357,10.0,9.0,14.0,1.0
348,resinosa_3358,1.0,21.0,16.0,2.0
349,resinosa_3359,1.0,21.0,16.0,2.0
350,resinosa_3360,1.0,19.0,16.0,2.0
351,resinosa_3361,1.0,21.0,16.0,2.0
352,resinosa_3362,10.0,12.0,16.0,2.0
353,resinosa_3363,,,25.0,
354,resinosa_3364,,11.0,16.0,2.0
355,resinosa_3365,1.0,21.0,16.0,2.0
356,resinosa_3366,1.0,21.0,16.0,2.0
357,resinosa_3367,1.0,21.0,16.0,2.0
358,resinosa_3368,,21.0,16.0,2.0
359,resinosa_3369,1.0,21.0,25.0,2.0
360,resinosa_3370,1.0,21.0,25.0,2.0
361,resinosa_3371,1.0,21.0,16.0,2.0
362,resinosa_3372,1.0,21.0,25.0,2.0
363,resinosa_3373,10.0,12.0,7.0,2.0
364,resinosa_3374,10.0,21.0,7.0,2.0
365,resinosa_3375,10.0,10.0,14.0,2.0
366,resinosa_3376,2.0,21.0,7.0,2.0
367,richardii_3405,10.0,11.0,16.0,3.0
368,richardii_3406,10.0,11.0,16.0,3.0
369,richardii_3407,10.0,10.0,7.0,2.0
370,richardii_3408,10.0,10.0,14.0,2.0
371,richardii_3409,10.0,9.0,14.0,2.0
372,richardii_3410,10.0,11.0,16.0,2.0
373,richardii_3411,10.0,10.0,1.0,2.0
374,richardii_3412,10.0,10.0,16.0,2.0
375,richardii_3413,2.0,21.0,15.0,2.0
376,richardii_3414,2.0,,16.0,2.0
377,richardii_3415,2.0,,16.0,2.0
378,richardii_3416,2.0,,16.0,2.0
379,richardii_3417,10.0,10.0,16.0,2.0
380,richardii_3418,10.0,11.0,16.0,2.0
381,richardii_3419,10.0,10.0,16.0,2.0
382,richardii_3420,10.0,10.0,16.0,2.0
383,richardii_3421,10.0,10.0,16.0,2.0
384,richardii_3422,10.0,10.0,16.0,2.0
385,richardii_3423,10.0,11.0,16.0,2.0
386,richardii_3424,10.0,12.0,16.0,2.0
387,richardii_3425,10.0,21.0,16.0,2.0
388,richardii_3426,1.0,21.0,15.0,2.0
389,richardii_3427,10.0,10.0,4.0,2.0
390,richardii_3428,10.0,10.0,16.0,2.0
391,richardii_3429,10.0,10.0,16.0,2.0
392,richardii_3430,10.0,10.0,16.0,2.0
393,richardii_3431,10.0,19.0,14.0,2.0
394,richardii_3432,10.0,19.0,16.0,2.0
395,richardii_3433,,,25.0,
396,richardii_3434,,,25.0,
397,richardii_3435,,,25.0,
398,richardii_3436,1.0,19.0,13.0,
399,richardii_3437,,21.0,16.0,2.0
400,richardii_3438,10.0,9.0,14.0,2.0
401,richardii_3439,10.0,9.0,14.0,2.0
402,richardii_3440,10.0,10.0,16.0,1.0
403,richardii_3441,10.0,10.0,16.0,1.0
404,richardii_3442,10.0,6.0,14.0,1.0
405,richardii_3443,10.0,6.0,14.0,1.0
406,richardii_3444,10.0,6.0,14.0,1.0
407,richardii_3445,10.0,6.0,14.0,1.0
408,richardii_3446,10.0,6.0,14.0,1.0
409,tetragona_3606,9.0,18.0,6.0,8.0
410,tetragona_3607,9.0,18.0,6.0,8.0
411,tetragona_3608,9.0,18.0,6.0,8.0
412,tetragona_3609,9.0,18.0,6.0,8.0
413,tetragona_3610,6.0,16.0,6.0,8.0
414,tetragona_3611,7.0,16.0,6.0,8.0
415,tetragona_3612,7.0,16.0,6.0,8.0
416,tetragona_3613,7.0,16.0,5.0,8.0
417,tetragona_3614,6.0,16.0,5.0,9.0
418,tetragona_3615,10.0,10.0,16.0,3.0
419,tetragona_3616,10.0,11.0,16.0,3.0
420,tetragona_3617,6.0,18.0,7.0,10.0
421,tetragona_3618,6.0,18.0,14.0,10.0
422,tetragona_3619,6.0,18.0,5.0,22.0
423,tetragona_3620,10.0,9.0,14.0,22.0
424,tsirananae_3690,10.0,11.0,16.0,3.0
425,tsirananae_3691,7.0,22.0,5.0,13.0
426,tsirananae_3692,7.0,22.0,2.0,13.0
427,tsirananae_3693,7.0,22.0,5.0,13.0
428,tsirananae_3694,7.0,22.0,2.0,12.0
429,tsirananae_3695,,23.0,25.0,
430,tsirananae_3696,7.0,23.0,6.0,12.0
431,tsirananae_3697,7.0,23.0,7.0,12.0
432,tsirananae_3698,6.0,23.0,5.0,12.0
433,tsirananae_3699,6.0,23.0,6.0,12.0
434,tsirananae_3700,9.0,8.0,7.0,1.0
435,tsirananae_3701,,23.0,25.0,
436,tsirananae_3702,9.0,17.0,6.0,12.0
437,tsirananae_3703,7.0,17.0,6.0,12.0
438,tsirananae_3704,7.0,17.0,6.0,12.0
439,tsirananae_3705,9.0,8.0,7.0,1.0
440,tsirananae_3706,1.0,4.0,6.0,1.0
441,tsirananae_3707,9.0,8.0,7.0,1.0
442,tsirananae_3708,9.0,23.0,6.0,1.0
443,tsirananae_3709,9.0,4.0,13.0,1.0
444,tsirananae_3710,,4.0,25.0,12.0
445,tsirananae_3711,,,25.0,
446,tsirananae_3712,7.0,23.0,6.0,1.0
447,tsirananae_3713,6.0,20.0,6.0,1.0
448,tsirananae_3714,,,25.0,
449,tsirananae_3715,6.0,23.0,7.0,1.0
450,tsirananae_3716,5.0,23.0,5.0,1.0
451,tsirananae_3717,7.0,4.0,25.0,
452,tsirananae_3718,6.0,20.0,7.0,1.0
453,tsirananae_3719,6.0,20.0,5.0,1.0
454,tsirananae_3720,6.0,20.0,5.0,1.0
455,tsirananae_3721,7.0,16.0,6.0,1.0
456,tsirananae_3722,6.0,20.0,5.0,1.0
457,tsirananae_3723,6.0,20.0,5.0,1.0
458,tsirananae_3724,5.0,23.0,5.0,1.0
459,tsirananae_3725,,,25.0,
460,tsirananae_3726,2.0,,25.0,1.0
461,tsirananae_3727,5.0,23.0,5.0,1.0
462,tsirananae_3728,,,25.0,
463,vatovavyensis_3729,10.0,11.0,16.0,3.0
464,vatovavyensis_3730,10.0,11.0,16.0,3.0
465,vianneyi_3732,10.0,11.0,16.0,3.0
466,vianneyi_3733,10.0,11.0,16.0,3.0
467,vianneyi_3734,10.0,11.0,16.0,3.0
