genus_species,longitude,latitude,year,specimen_id
Coffea heimii J.-F. Leroy,49.583333,-12.970278,2013,heimii J.-F. Leroy_205
Coffea mangoroensis Portères,48.428333,-18.950556,2013,mangoroensis Portères_206
Coffea tricalysioides,48.980573,-14.131205,2022,tricalysioides_207
Coffea perrieri Drake ex Jum. & H. Perrier,46.145833,-24.303611,2022,perrieri Drake ex Jum. & H. Perrier_208
Coffea perrieri Drake ex Jum. & H. Perrier,45.365556,-21.188611,2022,perrieri Drake ex Jum. & H. Perrier_209
Coffea millotii J.-F. Leroy,49.786667,-16.4525,2015,millotii J.-F. Leroy_210
Coffea leroyi A.P. Davis,50.074722,-14.186667,2022,leroyi A.P. Davis_211
Coffea tricalysioides J.-F. Leroy,47.703333,-20.308333,2013,tricalysioides J.-F. Leroy_212
Coffea canephora Pierre ex A. Froehner,50.133333,-14.621944,2018,canephora Pierre ex A. Froehner_213
Coffea perrieri,45.989986,-17.052635,2022,perrieri_214
Coffea perrieri,45.985053,-17.067958,2022,perrieri_215
Coffea boiviniana (Baill.) Drake,49.35,-12.33,2020,boiviniana (Baill.) Drake_216
Coffea grevei,44.348875,-23.874729,2016,grevei_217
Coffea boiviniana,49.39833,-12.388317,2020,boiviniana_218
Coffea bissetiae,46.820657,-16.234735,2020,bissetiae_219
Coffea boinensis,46.778291,-16.139983,2020,boinensis_220
Coffea boiviniana,47.348442,-16.02418,2020,boiviniana_221
Coffea boiviniana,45.883351,-17.069855,2021,boiviniana_222
Coffea sakarahae J.-F.Leroy,44.13667,-22.68333,2017,sakarahae J.-F.Leroy_223
Coffea perrieri,45.989,-17.06269,2021,perrieri_224
Coffea boiviniana,45.893891,-17.154961,2021,boiviniana_225
Coffea liaudii J.-F. Leroy ex A.P. Davis,47.023333,-17.837778,2021,liaudii J.-F. Leroy ex A.P. Davis_226
Coffea bissetiae,47.709321,-14.999613,2019,bissetiae_227
Coffea boiviniana,47.241667,-16.021247,2020,boiviniana_228
Coffea boiviniana,47.300588,-16.090702,2020,boiviniana_229
Coffea mcphersonii,49.351671,-12.388863,2020,mcphersonii_230
Coffea tsirananae,49.251716,-12.382886,2020,tsirananae_231
Coffea boiviniana,49.201458,-12.208129,2020,boiviniana_232
Coffea tsirananae,49.266346,-12.314212,2020,tsirananae_233
Coffea tsirananae,49.355849,-12.251702,2020,tsirananae_234
Coffea heimii,49.303872,-12.318289,2020,heimii_235
Coffea tsirananae,49.281018,-12.403209,2020,tsirananae_236
Coffea tsirananae,49.297935,-12.30587,2020,tsirananae_237
Coffea tsirananae,49.219958,-12.50737,2020,tsirananae_238
Coffea bissetiae,47.495654,-15.767105,2017,bissetiae_239
Coffea boiviniana,49.349672,-12.917028,2020,boiviniana_240
Coffea resinosa (Hook. f.) Radlk.,49.405833,-17.688889,2019,resinosa (Hook. f.) Radlk._241
Coffea perrieri,47.781762,-14.79531,2019,perrieri_242
Coffea richardii J.-F. Leroy,50.016389,-14.101111,2019,richardii J.-F. Leroy_243
Coffea coursiana J.-F. Leroy,48.553056,-19.164722,2019,coursiana J.-F. Leroy_244
Coffea dubardii Jum.,49.13,-12.57,2017,dubardii Jum._245
Coffea commersoniana (Baill.) A. Chev.,46.859733,-25.065583,2013,commersoniana (Baill.) A. Chev._246
Coffea grevei Drake ex A. Chev.,44.67,-20.07,2018,grevei Drake ex A. Chev._247
Coffea humbertii J.-F. Leroy,44.68,-22.88,2018,humbertii J.-F. Leroy_248
Coffea grevei Drake ex A. Chev.,44.67,-20.07,2018,grevei Drake ex A. Chev._249
Coffea resinosa (Hook. f.) Radlk.,47.77,-23.04,2016,resinosa (Hook. f.) Radlk._250
Coffea pterocarpa A. P. Davis & Rakotonas.,44.47,-17.89,2012,pterocarpa A. P. Davis & Rakotonas._251
Coffea tsirananae,49.322727,-12.338667,2019,tsirananae_252
Coffea heimii,49.3425,-12.396327,2019,heimii_253
Coffea heimii,49.2757,-12.398991,2019,heimii_254
Coffea buxifolia,46.557159,-20.616193,2019,buxifolia_255
Coffea arabica,47.526778,-18.930902,2019,rabica_256
Coffea heimii,49.549809,-12.580463,2019,heimii_257
Coffea boiviniana,49.300204,-12.374073,2018,boiviniana_258
Coffea richardii J.-F. Leroy,49.459444,-17.705556,2019,richardii J.-F. Leroy_259
Coffea dubardii Jum.,49.133333,-12.566667,2017,dubardii Jum._260
Coffea richardii J.-F. Leroy,49.318056,-17.913889,2018,richardii J.-F. Leroy_261
Coffea richardii J.-F. Leroy,49.2425,-18.040833,2018,richardii J.-F. Leroy_262
Coffea richardii J.-F. Leroy,49.21,-18.006389,2018,richardii J.-F. Leroy_263
Coffea millotii J.-F. Leroy,49.198056,-18.036111,2018,millotii J.-F. Leroy_264
Coffea perrieri Drake ex Jum. & H. Perrier,44.145556,-22.707778,2017,perrieri Drake ex Jum. & H. Perrier_265
Coffea sakarahae J.-F. Leroy,44.136667,-22.683333,2017,sakarahae J.-F. Leroy_266
Coffea resinosa (Hook. f.) Radlk.,49.678333,-16.765833,2016,resinosa (Hook. f.) Radlk._267
Coffea millotii J.-F. Leroy,48.556111,-19.158611,2017,millotii J.-F. Leroy_268
Coffea dubardii Jum.,49.174722,-12.482778,2011,dubardii Jum._269
Coffea dubardii Jum.,49.218333,-12.578889,2012,dubardii Jum._270
Coffea perrieri Drake ex Jum. & H. Perrier,44.561944,-18.111389,2012,perrieri Drake ex Jum. & H. Perrier_271
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.559167,-18.121944,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._272
Coffea perrieri Drake ex Jum. & H. Perrier,44.472222,-17.939722,2011,perrieri Drake ex Jum. & H. Perrier_273
Coffea tetragona Jum. & H. Perrier,44.507222,-18.047778,2012,tetragona Jum. & H. Perrier_274
Coffea pervilleana (Baill.) Drake,44.561389,-18.117778,2012,pervilleana (Baill.) Drake_275
Coffea boiviniana (Baill.) Drake,49.2875,-12.899444,2010,boiviniana (Baill.) Drake_276
Coffea richardii J.-F. Leroy,49.308889,-17.956667,2017,richardii J.-F. Leroy_277
Coffea richardii J.-F. Leroy,49.3275,-17.965278,2017,richardii J.-F. Leroy_278
Coffea richardii J.-F. Leroy,49.340278,-18.057222,2017,richardii J.-F. Leroy_279
Coffea pervilleana (Baill.) Drake,44.561388,-18.117777,2012,pervilleana (Baill.) Drake_280
Coffea perrieri Drake ex Jum. & H.Perrier,44.561944,-18.111388,2012,perrieri Drake ex Jum. & H.Perrier_281
Coffea moratii J.-F.Leroy ex A.P.Davis & Rakotonas.,44.559166,-18.121944,2012,moratii J.-F.Leroy ex A.P.Davis & Rakotonas._282
Coffea sahafaryensis,49.319776,-12.348961,2018,sahafaryensis_283
Coffea tsirananae,49.322867,-12.37262,2018,tsirananae_284
Coffea tsirananae,49.286155,-12.355806,2018,tsirananae_285
Coffea tsirananae,49.251149,-12.267834,2018,tsirananae_286
Coffea tsirananae,49.389809,-12.366895,2018,tsirananae_287
Coffea heimii,49.202966,-12.221671,2018,heimii_288
Coffea heimii,49.398762,-12.38876,2017,heimii_289
Coffea tsirananae,49.352042,-12.383784,2018,tsirananae_290
