specimen_id,longitude,latitude,caffeine_percent
C_richardii_A575,49.308889,-17.956667,0.03
C_richardii_A575,49.3275,-17.965278,0.03
C_richardii_A575,49.340278,-18.057222,0.03
C_resinosa_A8,48.343055,-18.791944,0.0
C_millotii_A222,48.292499,-18.866111,0.0
C_dubardii_A969,44.749166,-16.958611,0.0
C_pervilleana_A957,44.561388,-18.117777,0.0
C_perrieri_A12,44.561944,-18.111388,0.0
C_tsirananae_A515,49.322867,-12.37262,0.0
C_resinosa_A8,49.6067,-13.2581,0.0
C_tsirananae_A515,49.370555,-12.051886,0.0
C_tsirananae_A515,49.299349,-12.17709,0.0
C_tsirananae_A515,49.286155,-12.355806,0.0
C_tsirananae_A515,49.333392,-12.276174,0.0
C_heimii_A516,49.319958,-12.231176,0.0
C_tsirananae_A515,49.251149,-12.267834,0.0
C_tsirananae_A515,49.389809,-12.366895,0.0
C_heimii_A516,49.202966,-12.221671,0.0
C_heimii_A516,49.398762,-12.38876,0.0
C_tsirananae_A515,49.352042,-12.383784,0.0
C_heimii_A516,49.306528,-12.355424,0.0
C_tsirananae_A515,49.397008,-12.255726,0.0
C_resinosa_A8,49.606667,-13.258056,0.0
C_homollei_A945,48.731111,-17.503889,0.06
C_homollei_A945,48.731111,-17.503889,0.06
C_tsirananae_A515,49.220055,-12.254734,0.0
C_heimii_A516,49.387585,-12.322474,0.0
C_heimii_A516,49.435269,-12.278797,0.0
C_resinosa_A8,47.773055,-23.042499,0.0
C_pervilleana_A957,48.666667,-13.587777,0.0
C_millotii_A222,48.318888,-18.869444,0.0
C_pervilleana_A957,48.666667,-13.587777,0.0
C_abbayesii_A601,46.962222,-24.836667,0.0
C_humbertii_RNF785,43.665555,-23.066388,0.0
C_dubardii_A969,49.105,-12.846388,0.0
C_dubardii_A969,49.105,-12.846388,0.0
C_tsirananae_A515,49.201725,-12.347115,0.0
C_dubardii_A969,49.105,-12.8464,0.0
C_richardii_A575,49.555672,-17.626077,0.03
C_richardii_A575,49.380748,-17.500201,0.03
C_richardii_A575,49.506512,-17.636398,0.03
C_richardii_A575,49.422757,-17.667906,0.03
C_richardii_A575,49.370938,-17.429905,0.03
C_perrieri_A12,47.01973,-16.763061,0.0
C_arenesiana_A403,48.254139,-19.120401,0.0
C_richardii_A575,49.242218,-18.198825,0.03
C_richardii_A575,49.551854,-17.665406,0.03
C_bertrandii_A5,46.486576,-24.820319,0.0
C_abbayesii_A601,47.1401,-24.835216,0.0
C_perrieri_A12,44.050504,-18.043941,0.0
C_resinosa_A8,47.701944,-23.175278,0.0
C_richardii_A575,48.9525,-18.824722,0.03
C_perrieri_A12,46.109722,-24.310833,0.0
C_richardii_A575,50.03972,-14.10777,0.03
C_perrieri_A12,46.15777,-24.33638,0.0
C_richardii_A575,49.43333,-17.7,0.03
C_resinosa_A8,47.733333,-23.166667,0.0
