specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
abbayesii_316,4326,47.136111,-24.842778,POINT (715860.4092442521 7250769.964015225),9,1,False,5.0,3.0,311.0,7362.0,,21.0,7,5.0,18.0
pervilleana_324,4326,44.28417,-17.54361,POINT (424026.1871600385 8060163.433476245),9,0,False,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0
pervilleana_325,4326,44.30139,-18.01528,POINT (426048.19479896803 8007984.497489377),9,0,False,71.0,5.0,143.0,7600.0,9.0,18.0,6,8.0,0.0
pervilleana_344,4326,44.31583,-18.03361,POINT (427584.3037171829 8005962.119704753),9,0,False,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0
pervilleana_349,4326,44.31583,-18.03361,POINT (427584.3037171829 8005962.119704753),9,0,False,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0
perrieri_463,4326,46.015711,-17.117819,POINT (608052.495283464 8107129.240210309),9,0,False,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0
perrieri_492,4326,46.015693,-17.117573,POINT (608050.7222855763 8107156.467825541),9,0,False,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0
pervilleana_493,4326,45.920397,-17.077081,POINT (597933.4077761312 8111686.841934608),9,0,False,274.0,3.0,146.0,7699.0,7.0,20.0,5,8.0,36.0
pervilleana_494,4326,45.923007,-17.07882,POINT (598210.23044008 8111493.13068094),9,0,False,249.0,3.0,238.0,7755.0,7.0,20.0,7,8.0,44.0
humbertii_496,4326,44.583333,-22.916667,POINT (457272.8980206097 7465644.630243062),9,0,False,613.0,3.0,303.0,7623.0,6.0,16.0,6,6.0,0.0
