,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
122,233.0,2.0,235.0,7307.0,9.0,6.0,12,6.0,99.0,Absent
124,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0,Absent
125,1332.0,16.0,290.0,7945.0,10.0,9.0,14,2.0,99.0,Low
126,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0,Absent
127,1332.0,16.0,290.0,7945.0,10.0,9.0,14,2.0,99.0,Low
128,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0,Absent
129,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
130,900.0,0.0,290.0,7891.0,10.0,9.0,16,2.0,13.0,Low
131,372.0,12.0,271.0,7183.0,9.0,22.0,12,6.0,99.0,Absent
132,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0,Absent
133,270.0,13.0,161.0,7330.0,10.0,11.0,16,2.0,2.0,Low
134,270.0,13.0,161.0,7330.0,10.0,11.0,16,2.0,2.0,Low
135,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0,Absent
136,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
137,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0,Absent
138,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0,Absent
139,183.0,13.0,257.0,7597.0,10.0,10.0,16,2.0,8.0,Low
140,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0,Absent
141,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0,Absent
142,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
143,163.0,21.0,316.0,7862.0,10.0,10.0,16,2.0,19.0,Low
144,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0,Absent
145,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
146,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0,Absent
147,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
148,50.0,4.0,131.0,7600.0,10.0,10.0,16,2.0,0.0,Low
149,69.0,5.0,240.0,7673.0,10.0,10.0,16,1.0,22.0,Low
150,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0,Absent
151,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0,Absent
152,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0,Absent
153,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
154,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0,Absent
155,69.0,5.0,240.0,7673.0,10.0,10.0,16,1.0,22.0,Low
156,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
157,98.0,2.0,10.0,7681.0,10.0,10.0,16,2.0,0.0,Low
158,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
159,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0,Absent
160,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
162,106.0,6.0,177.0,7588.0,10.0,10.0,16,1.0,2.0,Low
163,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0,Absent
164,37.0,3.0,221.0,7501.0,10.0,10.0,7,2.0,0.0,Low
165,37.0,3.0,221.0,7501.0,10.0,10.0,7,2.0,0.0,Low
166,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0,Low
167,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0,Absent
168,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0,Absent
169,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0,Absent
170,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
171,261.0,13.0,7.0,8107.0,10.0,6.0,14,1.0,87.0,Low
172,23.0,1.0,252.0,7622.0,2.0,21.0,15,2.0,69.0,Low
174,55.0,6.0,277.0,7692.0,10.0,10.0,16,2.0,0.0,Low
175,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0,Absent
176,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0,Absent
177,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0,Absent
178,199.0,5.0,141.0,7620.0,9.0,18.0,5,8.0,71.0,Absent
179,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0,Absent
180,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
181,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0,Absent
182,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0,Absent
183,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
185,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0,Absent
186,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0,Absent
187,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0,Absent
188,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0,Absent
189,308.0,23.0,156.0,5548.0,10.0,9.0,14,5.0,90.0,Absent
190,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0,Absent
191,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0,Absent
194,13.0,3.0,324.0,7458.0,9.0,21.0,4,4.0,51.0,Absent
195,306.0,16.0,329.0,8089.0,10.0,11.0,14,2.0,97.0,Absent
196,110.0,15.0,119.0,6517.0,10.0,15.0,7,5.0,88.0,Absent
197,50.0,5.0,147.0,7457.0,10.0,19.0,14,2.0,59.0,Low
198,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0,Absent
199,233.0,2.0,235.0,7307.0,9.0,6.0,12,6.0,99.0,Absent
200,686.0,16.0,212.0,6663.0,6.0,22.0,22,18.0,8.0,Absent
201,1129.0,7.0,267.0,8105.0,9.0,18.0,14,12.0,100.0,Absent
202,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0,Absent
203,408.0,1.0,307.0,7430.0,10.0,6.0,7,6.0,0.0,Absent
204,5.0,1.0,2.0,7543.0,6.0,19.0,16,3.0,1.0,Absent
205,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0,Absent
206,372.0,12.0,271.0,7183.0,9.0,22.0,12,6.0,99.0,Absent
207,69.0,5.0,240.0,7673.0,10.0,10.0,16,1.0,22.0,Low
208,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
209,900.0,0.0,290.0,7891.0,10.0,9.0,16,2.0,13.0,Low
210,31.0,5.0,180.0,7633.0,10.0,19.0,16,2.0,5.0,Low
211,184.0,7.0,303.0,7773.0,10.0,10.0,16,2.0,2.0,Low
212,1332.0,16.0,290.0,7945.0,10.0,9.0,14,2.0,99.0,Low
213,259.0,8.0,208.0,7361.0,7.0,16.0,6,8.0,62.0,Low
214,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
