specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
resinosa_1238,4326,47.724167,-23.170278,POINT (778898.4273240004 7435020.213109655),9,0,False,46.0,8.0,263.0,7236.0,9.0,21.0,16.0,4.0,0.0
resinosa_1239,4326,48.605833,-20.359444,POINT (876515.097472524 7744616.072313964),9,0,False,8.0,3.0,292.0,7574.0,1.0,21.0,16.0,3.0,32.0
sambavensis_1240,4326,50.09972,-13.72055,POINT (1052033.2113731997 8477340.769112656),9,2,False,17.0,1.0,294.0,7861.0,,21.0,15.0,,63.0
resinosa_1243,4326,49.256667,-18.565556,POINT (949495.5412336814 7941918.554668624),9,1,False,8.0,3.0,115.0,7582.0,2.0,,16.0,2.0,34.0
resinosa_1245,4326,49.23388,-18.595,POINT (947008.7347414009 7938710.59530902),9,0,False,14.0,1.0,234.0,7606.0,2.0,21.0,15.0,2.0,24.0
richardii_1246,4326,49.25666,-18.56555,POINT (949494.8167221749 7941919.237540592),9,1,False,8.0,3.0,115.0,7582.0,2.0,,16.0,2.0,34.0
resinosa_1247,4326,49.70611,-16.76055,POINT (1002039.2629539109 8140978.508391662),9,0,False,13.0,1.0,213.0,7688.0,1.0,21.0,16.0,2.0,59.0
resinosa_1248,4326,49.70972,-16.76111,POINT (1002423.623921355 8140907.22037609),9,0,False,13.0,1.0,213.0,7688.0,1.0,21.0,16.0,2.0,59.0
sambavensis_1250,4326,50.09777,-13.71805,POINT (1051827.5000954424 8477622.708691126),9,1,False,16.0,1.0,345.0,7857.0,,21.0,15.0,1.0,79.0
tricalysioides_1269,4326,49.152222,-12.583611,POINT (951371.5498642377 8605342.572324652),9,0,False,1266.0,6.0,285.0,8181.0,9.0,8.0,7.0,12.0,78.0
