specimen_id,longitude,latitude
millotii_1445,47.867861,-21.377889
millotii_1447,47.867861,-21.377889
millotii_1448,47.867861,-21.377889
millotii_1449,47.863972,-21.382389
millotii_1450,47.863972,-21.382389
millotii_1451,47.863972,-21.382389
millotii_1452,47.863972,-21.382389
resinosa_1460,48.554167,-20.3725
humbertii_1478,44.681028,-22.878083
perrieri_1479,47.863972,-21.382389
resinosa_1484,49.706111,-16.760556
humbertii_1487,44.681028,-22.878083
bertrandii_1551,47.87025,-21.377056
abbayesii_1562,47.867861,-21.377889
abbayesii_1570,47.863972,-21.382389
perrieri_1573,45.989,-17.06269
heimii_1585,49.347115,-12.210881
tsirananae_1586,49.251716,-12.382886
tsirananae_1590,49.266346,-12.314212
tsirananae_1591,49.355849,-12.251702
heimii_1592,49.303872,-12.318289
tsirananae_1593,49.281018,-12.403209
heimii_1594,49.226443,-12.281807
tsirananae_1595,49.297935,-12.30587
tsirananae_1597,49.219958,-12.50737
resinosa_1600,49.405833,-17.688889
perrieri_1601,47.781762,-14.79531
dubardii_1606,49.13,-12.57
humbertii_1610,44.68,-22.83
humbertii_1613,44.68,-22.88
resinosa_1615,47.77,-23.04
pervilleana_1617,44.516667,-18.061111
perrieri_1620,44.516667,-18.027778
tsirananae_1623,49.340235,-12.302029
tsirananae_1624,49.322727,-12.338667
heimii_1625,49.3425,-12.396327
heimii_1626,49.2757,-12.398991
millotii_1628,47.9425,-21.406944
millotii_1629,47.941111,-21.402778
resinosa_1632,47.699444,-23.175556
resinosa_1685,48.60583,-20.35944
dubardii_1722,47.8675,-21.375833
pervilleana_1728,47.8675,-21.376389
perrieri_1735,47.867222,-21.376389
perrieri_1737,47.867222,-21.376389
resinosa_1738,47.8675,-21.375833
millotii_1740,47.8675,-21.375833
tsirananae_1744,49.322106,-12.239535
resinosa_1746,47.771282,-23.045858
millotii_1752,47.868056,-21.373333
heimii_1753,49.569592,-12.454103
heimii_1754,49.549809,-12.580463
dubardii_1764,49.133333,-12.566667
millotii_1768,49.198056,-18.036111
perrieri_1769,44.145556,-22.707778
resinosa_1773,49.678333,-16.765833
tsirananae_1778,49.3375,-12.323889
millotii_1785,48.556111,-19.158611
dubardii_1788,49.1725,-12.487778
dubardii_1789,49.174722,-12.482778
dubardii_1790,49.218333,-12.578889
perrieri_1791,44.561944,-18.111389
perrieri_1795,44.472222,-17.939722
pervilleana_1799,44.561389,-18.117778
resinosa_1812,48.343055,-18.791944
millotii_1813,48.292499,-18.866111
dubardii_1816,44.749166,-16.958611
pervilleana_1821,44.561388,-18.117777
perrieri_1822,44.561944,-18.111388
tsirananae_1833,49.322867,-12.37262
resinosa_1834,49.6067,-13.2581
tsirananae_1836,49.370555,-12.051886
tsirananae_1837,49.299349,-12.17709
