,specimen_id,longitude,latitude
645, tricalysioides J.-F. Leroy_645,47.703333,-20.308333
647, rupicola A.P. Davis & Rakotonas._647,49.55,-13.22
648, bonnieri Dubard_648,48.08,-13.75
649, pustulata A.P. Davis & Rakotonas._649,49.603611,-13.240555
652, boiviniana (Baill.) Drake_652,49.544444,-12.673611
658, richardii J.-F. Leroy_658,49.318056,-17.913889
661, mangoroensis Portères_661,48.440556,-18.829722
662, mangoroensis Portères_662,48.421111,-18.937778
663, mangoroensis Portères_663,48.158056,-19.047778
664, mangoroensis Portères_664,48.443333,-18.9225
667, sakarahae J.-F. Leroy_667,45.096667,-21.095278
675, commersoniana (Baill.) A. Chev._675,46.890278,-25.0525
677, pervilleana (Baill.) Drake_677,44.315803,-18.033509
678, perrieri Drake ex Jum. & H. Perrier_678,,
679, tetragona Jum. & H. Perrier_679,44.324308,-18.035903
686, perrieri Drake ex Jum. & H. Perrier_686,44.156111,-22.718056
688, commersoniana (Baill.) A. Chev._688,47.021111,-24.941944
689, commersoniana (Baill.) A. Chev._689,46.993889,-24.974167
691, pervilleana (Baill.) Drake_691,44.301506,-18.015404
692, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._692,44.324308,-18.035903
694, bissetiae A.P. Davis & Rakotonas._694,46.8,-16.32
695, bissetiae A.P. Davis & Rakotonas._695,46.8,-16.32
697, sakarahae J.-F. Leroy_697,44.136667,-22.683333
698, tsirananae J.-F. Leroy_698,49.3375,-12.323889
699, boinensis A.P. Davis & Rakotonas._699,46.8,-16.3
700, tricalysioides J.-F. Leroy_700,49.153889,-12.6025
702, tetragona Jum. & H. Perrier_702,44.507222,-18.047778
704, heimii J.-F. Leroy_704,49.583333,-12.970278
705, tetragona Jum. & H. Perrier_705,47.99,-13.77
706, microdubardii A.P. Davis & Rakotonas._706,49.61,-13.26
708, tricalysioides J.-F. Leroy_708,49.153889,-12.6025
709, pervilleana (Baill.) Drake_709,44.561389,-18.117778
710, tricalysioides J.-F. Leroy_710,49.152222,-12.583611
712, boiviniana (Baill.) Drake_712,49.2875,-12.899444
713, richardii J.-F. Leroy_713,49.3275,-17.965278
714, bertrandii A. Chev._714,46.674722,-25.122222
717, resinosa (Hook. f.) Radlk._717,48.4875,-20.73944
718, richardii J.-F. Leroy_718,49.43333,-17.7
719, richardii J.-F. Leroy_719,49.3275,-17.965278
720, mangoroensis Portères_720,48.445278,-18.953611
721, perrieri Drake ex Jum. & H. Perrier_721,46.673333,-24.798889
722, boiviniana (Baill.) Drake_722,45.341667,-16.461111
723, resinosa (Hook. f.) Radlk._723,47.70666,-23.1775
724, buxifolia A. Chev._724,47.00444,-20.06944
725, resinosa (Hook. f.) Radlk._725,47.70638,-23.17222
726, humbertii J.-F. Leroy_726,46.981111,-24.884722
727, mangoroensis Portères_727,48.27555,-18.86277
728, toshii A.P. Davis & Rakotonas._728,46.955,-22.496667
729, tetragona Jum. & H. Perrier_729,47.99,-13.77
730, richardii J.-F. Leroy_730,48.950556,-19.044722
733, bonnieri Dubard_733,48.08,-13.75
734, pustulata A.P. Davis & Rakotonas._734,49.603611,-13.240555
