specimen_id,latitude,longitude
Coffea_brevipes,-0.388583,25.542805
Coffea_brevipes,-0.388638,25.542916
Coffea_brevipes,-0.388611,25.543277
Coffea_brevipes,3.444444,25.691944
Coffea_brevipes,3.466667,25.716667
Coffea_brevipes,3.46667,25.71667
Coffea_brevipes,2.983333,25.933333
Coffea_brevipes,-0.733333,26.583333
Coffea_brevipes,-2.55,26.616667
Coffea_brevipes,-2.55,26.61667
Coffea_brevipes,-1.5,27.0
Coffea_brevipes,-4.766667,27.1
Coffea_brevipes,-4.76667,27.1
Coffea_brevipes,-1.416667,28.05
Coffea_brevipes,-1.41667,28.05
Coffea_brevipes,-2.0,28.66667
Coffea_brevipes,7.0,4.25
Coffea_brevipes,6.93333,4.43333
Coffea_brevipes,5.52777,8.6125
Coffea_brevipes,4.783333,8.983333
Coffea_brevipes,4.054167,9.0
Coffea_brevipes,4.066667,9.05
Coffea_brevipes,4.06667,9.05
Coffea_brevipes,4.35,9.05
Coffea_brevipes,4.05,9.066667
Coffea_brevipes,4.06666,9.08333
Coffea_brevipes,4.06667,9.08333
Coffea_brevipes,4.066667,9.083333
Coffea_brevipes,4.066667,9.116667
Coffea_brevipes,4.05,9.15
Coffea_brevipes,4.01,9.16
Coffea_brevipes,4.083333,9.166667
Coffea_brevipes,4.2,9.18
Coffea_brevipes,4.08333,9.18333
Coffea_brevipes,4.083333,9.183333
Coffea_brevipes,4.216667,9.183333
Coffea_brevipes,4.366667,9.2
Coffea_brevipes,4.108333,9.201389
Coffea_brevipes,4.10833,9.20139
Coffea_brevipes,4.108333,9.201667
Coffea_brevipes,4.45,9.316667
Coffea_brevipes,4.93333,9.35
Coffea_brevipes,4.933334,9.35
Coffea_brevipes,4.815,9.6
Coffea_brevipes,4.78333,9.68333
Coffea_brevipes,4.783333,9.683333
Coffea_brevipes,4.816667,9.683333
Coffea_brevipes,4.833333,9.683333
Coffea_brevipes,4.833334,9.683333
Coffea_brevipes,4.825833,9.691111
Coffea_brevipes,4.85,9.7
Coffea_bridsoniae,-5.13,38.58
Coffea_bridsoniae,-5.061944,38.749444
Coffea_bridsoniae,-5.06,38.75
Coffea_bridsoniae,-5.03875,38.76806
Coffea_bridsoniae,-4.85,38.78
Coffea_buxifolia,-23.42,46.44583
Coffea_buxifolia,-20.616193,46.557159
Coffea_buxifolia,-20.62,46.56
Coffea_buxifolia,-20.581111,46.560278
Coffea_buxifolia,-20.618055,46.563888
Coffea_buxifolia,-20.618056,46.563889
Coffea_buxifolia,-20.566667,46.566667
Coffea_buxifolia,-20.577778,46.581389
Coffea_buxifolia,-20.5725,46.58166
Coffea_buxifolia,-20.526388,46.582777
Coffea_buxifolia,-20.566667,46.616667
Coffea_buxifolia,-20.595751,46.63298
Coffea_buxifolia,-20.51194,46.77527
Coffea_buxifolia,-19.566667,46.866667
Coffea_buxifolia,-20.095278,47.003889
Coffea_buxifolia,-20.06944,47.00444
Coffea_buxifolia,-20.089166,47.004722
Coffea_buxifolia,-20.089167,47.004722
Coffea_buxifolia,-22.726667,47.090555
Coffea_buxifolia,-20.25,47.15
Coffea_buxifolia,-20.657222,47.1925
Coffea_buxifolia,-18.141111,47.223889
Coffea_buxifolia,-21.25,47.25
Coffea_buxifolia,-18.072757,47.26181
Coffea_buxifolia,-18.166667,47.283333
