specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,specimen_name,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
dubardii_979,4326,47.863889,-21.3825,POINT (796967.0982798996 7632811.5735395495),9,0,False,Coffea_dubardii,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
dubardii_980,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,Coffea_dubardii,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
dubardii_981,4326,47.8675,-21.375833,POINT (797355.2531098193 7633543.307278467),9,0,False,Coffea_dubardii,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
dubardii_982,4326,49.055556,-12.922222,POINT (940259.7556518493 8567976.697977759),9,0,False,Coffea_dubardii,50.0,1.0,204.0,7830.0,7.0,22.0,7.0,13.0,17.0
dubardii_983,4326,49.066667,-12.85,POINT (941594.6956003106 8575962.476910887),9,0,False,Coffea_dubardii,78.0,6.0,193.0,7763.0,9.0,8.0,7.0,12.0,17.0
dubardii_984,4326,49.072222,-12.9325,POINT (942053.5831398848 8566808.703762723),9,0,False,Coffea_dubardii,127.0,7.0,161.0,7603.0,7.0,22.0,2.0,13.0,10.0
dubardii_985,4326,49.08333,-12.5,POINT (944014.5765139057 8614727.573604858),9,0,False,Coffea_dubardii,378.0,4.0,352.0,8040.0,9.0,18.0,7.0,12.0,0.0
dubardii_986,4326,49.083333,-12.9,POINT (943319.0546159232 8570391.744125314),9,0,False,Coffea_dubardii,165.0,28.0,358.0,7892.0,7.0,22.0,5.0,13.0,12.0
dubardii_987,4326,49.1,-12.9,POINT (945131.3540197855 8570362.800563525),9,0,False,Coffea_dubardii,142.0,4.0,142.0,7785.0,7.0,22.0,2.0,13.0,8.0
dubardii_988,4326,49.105,-12.846388,POINT (945770.0611607116 8576296.608845381),9,0,False,Coffea_dubardii,142.0,2.0,206.0,7872.0,9.0,8.0,7.0,12.0,13.0
dubardii_989,4326,49.105,-12.84639,POINT (945770.0576231861 8576296.387159621),9,0,False,Coffea_dubardii,142.0,2.0,206.0,7872.0,9.0,8.0,7.0,12.0,13.0
dubardii_990,4326,49.105,-12.8464,POINT (945770.0399355507 8576295.27873082),9,0,False,Coffea_dubardii,142.0,2.0,206.0,7872.0,9.0,8.0,7.0,12.0,13.0
dubardii_991,4326,49.10666,-12.91638,POINT (945826.4226579209 8568535.587778185),9,0,False,Coffea_dubardii,117.0,2.0,297.0,7900.0,7.0,22.0,5.0,13.0,56.0
dubardii_992,4326,49.106667,-12.916389,POINT (945827.1677606131 8568534.577972405),9,0,False,Coffea_dubardii,117.0,2.0,297.0,7900.0,7.0,22.0,5.0,13.0,56.0
dubardii_993,4326,49.10667,-12.91639,POINT (945827.4921730957 8568534.461893847),9,0,False,Coffea_dubardii,117.0,2.0,297.0,7900.0,7.0,22.0,5.0,13.0,56.0
dubardii_994,4326,49.106944,-12.91,POINT (945868.6499564289 8569242.273042245),9,0,False,Coffea_dubardii,140.0,8.0,353.0,7927.0,7.0,22.0,5.0,13.0,21.0
dubardii_995,4326,49.10972,-12.90888,POINT (946172.4869802331 8569361.573989293),9,0,False,Coffea_dubardii,136.0,5.0,287.0,7919.0,7.0,22.0,5.0,13.0,44.0
dubardii_996,4326,49.11167,-12.91167,POINT (946379.5516790575 8569048.914896607),9,0,False,Coffea_dubardii,136.0,5.0,287.0,7919.0,7.0,22.0,5.0,13.0,44.0
dubardii_997,4326,49.116667,-12.933333,POINT (946884.2424216217 8566638.953871787),9,0,False,Coffea_dubardii,123.0,8.0,11.0,8046.0,7.0,22.0,5.0,13.0,38.0
dubardii_998,4326,49.11667,-12.93333,POINT (946884.5739514839 8566639.28115146),9,0,False,Coffea_dubardii,123.0,8.0,11.0,8046.0,7.0,22.0,5.0,13.0,38.0
dubardii_999,4326,49.13,-12.57,POINT (948975.7790334914 8606889.449001227),9,0,False,Coffea_dubardii,1034.0,10.0,280.0,8078.0,9.0,18.0,14.0,12.0,100.0
dubardii_1000,4326,49.133333,-12.566667,POINT (949344.4955407982 8607253.191135047),9,0,False,Coffea_dubardii,1129.0,7.0,267.0,8105.0,9.0,18.0,14.0,12.0,100.0
dubardii_1001,4326,49.133333,-12.75,POINT (949022.6700174895 8586931.514680384),9,0,False,Coffea_dubardii,526.0,3.0,163.0,7934.0,9.0,18.0,7.0,12.0,75.0
dubardii_1002,4326,49.16667,-12.95,POINT (952290.7947331636 8564703.283373158),9,0,False,Coffea_dubardii,170.0,4.0,340.0,7887.0,7.0,6.0,5.0,13.0,2.0
dubardii_1003,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,Coffea_dubardii,751.0,14.0,262.0,7917.0,9.0,8.0,14.0,12.0,100.0
dubardii_1004,4326,49.1725,-12.48778,POINT (953747.6487404744 8615930.454370154),9,0,False,Coffea_dubardii,751.0,14.0,262.0,7917.0,9.0,8.0,14.0,12.0,100.0
dubardii_1005,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,Coffea_dubardii,735.0,17.0,84.0,7848.0,9.0,8.0,14.0,12.0,100.0
dubardii_1006,4326,49.213056,-12.479722,POINT (958179.453843839 8616753.698071461),9,0,False,Coffea_dubardii,582.0,6.0,12.0,8169.0,9.0,8.0,7.0,1.0,34.0
dubardii_1007,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,Coffea_dubardii,865.0,8.0,199.0,7779.0,9.0,8.0,14.0,1.0,68.0
dubardii_1008,4326,49.23333,-12.86666,POINT (959691.3428320987 8573823.036354238),9,0,False,Coffea_dubardii,365.0,11.0,214.0,7635.0,7.0,6.0,5.0,13.0,46.0
dubardii_1009,4326,49.256111,-12.459167,POINT (962906.2334836399 8618957.397500725),9,0,False,Coffea_dubardii,431.0,6.0,303.0,8063.0,9.0,8.0,7.0,1.0,1.0
dubardii_1010,4326,49.258333,-12.825,POINT (962487.3698030709 8578396.608831558),9,0,False,Coffea_dubardii,320.0,1.0,301.0,7969.0,9.0,8.0,5.0,1.0,54.0
dubardii_1011,4326,49.33333,-12.38333,POINT (971456.3443710594 8627229.204377742),9,0,False,Coffea_dubardii,330.0,30.0,244.0,6991.0,6.0,20.0,7.0,1.0,33.0
dubardii_1012,4326,49.7,-13.18,POINT (1009820.5473967544 8538182.939559158),9,0,False,Coffea_dubardii,171.0,8.0,36.0,7888.0,10.0,9.0,6.0,1.0,24.0
dubardii_1013,4326,49.766667,-13.2,POINT (1017024.8349066628 8535827.446843999),9,0,False,Coffea_dubardii,69.0,3.0,22.0,7901.0,10.0,7.0,7.0,1.0,0.0
dubardii_1014,4326,49.985833,-13.613056,POINT (1039922.9102694271 8489527.728152186),9,0,False,Coffea_dubardii,187.0,11.0,275.0,7838.0,9.0,6.0,5.0,1.0,79.0
farafanganensis_1238,4326,47.641667,-23.141667,POINT (770505.4135884279 7438345.657786958),9,0,False,Coffea_farafanganensis,9.0,2.0,228.0,7359.0,9.0,19.0,7.0,4.0,0.0
farafanganensis_1239,4326,47.7,-23.0,POINT (776771.7723534377 7453930.881346926),9,0,False,Coffea_farafanganensis,26.0,1.0,27.0,7450.0,10.0,7.0,14.0,4.0,28.0
farafanganensis_1240,4326,47.863889,-21.3825,POINT (796967.0982798996 7632811.5735395495),9,0,False,Coffea_farafanganensis,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
farafanganensis_1241,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,Coffea_farafanganensis,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
farafanganensis_1242,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_farafanganensis,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
heimii_1305,4326,46.70611,-19.37333,POINT (679184.430308989 7856978.415031726),9,0,False,Coffea_heimii,1285.0,2.0,46.0,7917.0,10.0,12.0,6.0,19.0,0.0
heimii_1306,4326,47.863889,-21.3825,POINT (796967.0982798996 7632811.5735395495),9,0,False,Coffea_heimii,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
heimii_1307,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_heimii,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
heimii_1308,4326,49.202966,-12.221671,POINT (957530.000239063 8645377.025161961),9,0,False,Coffea_heimii,82.0,8.0,100.0,7834.0,6.0,23.0,6.0,12.0,3.0
heimii_1309,4326,49.226443,-12.281807,POINT (959985.3753017825 8638670.640734412),9,8,False,Coffea_heimii,,,,,,,25.0,,
heimii_1310,4326,49.263119,-12.279828,POINT (963987.2160799548 8638826.905155072),9,8,False,Coffea_heimii,,,,,,,25.0,,
heimii_1311,4326,49.2757,-12.398991,POINT (965147.7496670873 8625594.36152296),9,0,False,Coffea_heimii,184.0,3.0,313.0,7969.0,9.0,8.0,7.0,1.0,3.0
heimii_1312,4326,49.303872,-12.318289,POINT (968361.9252714938 8634492.083777336),9,0,False,Coffea_heimii,71.0,6.0,85.0,7863.0,7.0,4.0,6.0,1.0,0.0
heimii_1313,4326,49.306528,-12.355424,POINT (968585.2150284352 8630370.385262387),9,0,False,Coffea_heimii,44.0,6.0,241.0,7877.0,7.0,23.0,7.0,1.0,0.0
heimii_1314,4326,49.319958,-12.231176,POINT (970270.6064264355 8644121.97451932),9,8,False,Coffea_heimii,,,,,,,25.0,,
heimii_1315,4326,49.3425,-12.396327,POINT (972432.2872414208 8625771.941739332),9,0,False,Coffea_heimii,141.0,7.0,246.0,7788.0,7.0,20.0,7.0,1.0,4.0
heimii_1316,4326,49.347115,-12.210881,POINT (973268.3172334379 8646324.57726909),9,8,False,Coffea_heimii,,,,,,,25.0,,
heimii_1317,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,Coffea_heimii,250.0,14.0,331.0,8092.0,6.0,20.0,5.0,1.0,47.0
heimii_1318,4326,49.387585,-12.322474,POINT (977480.4254891395 8633880.097304637),9,0,False,Coffea_heimii,14.0,2.0,294.0,7863.0,2.0,16.0,5.0,1.0,3.0
heimii_1319,4326,49.398762,-12.38876,POINT (978577.9713838883 8626510.356607465),9,0,False,Coffea_heimii,82.0,10.0,57.0,7971.0,6.0,23.0,7.0,1.0,12.0
heimii_1320,4326,49.43333,-12.56666,POINT (982015.30182686 8606721.54578902),9,0,False,Coffea_heimii,150.0,8.0,253.0,7786.0,6.0,17.0,5.0,1.0,56.0
heimii_1321,4326,49.433333,-12.566667,POINT (982015.6155031192 8606720.764081914),9,0,False,Coffea_heimii,150.0,8.0,253.0,7786.0,6.0,17.0,5.0,1.0,56.0
heimii_1322,4326,49.435269,-12.278797,POINT (982759.134614432 8638637.598548036),9,8,False,Coffea_heimii,,,,,,,25.0,,
heimii_1323,4326,49.442777,-12.593611,POINT (982993.7318721606 8603715.672081811),9,0,False,Coffea_heimii,208.0,2.0,339.0,7990.0,6.0,17.0,5.0,1.0,62.0
heimii_1324,4326,49.45611,-12.58472,POINT (984462.6304257289 8604676.940310588),9,0,False,Coffea_heimii,251.0,3.0,268.0,7940.0,6.0,17.0,6.0,1.0,21.0
heimii_1325,4326,49.549809,-12.580463,POINT (994676.992488631 8604973.911008792),9,0,False,Coffea_heimii,4.0,1.0,250.0,7880.0,2.0,4.0,3.0,1.0,64.0
heimii_1326,4326,49.569592,-12.454103,POINT (997074.80834441 8618950.269213684),9,7,False,Coffea_heimii,,,,,,4.0,25.0,,
heimii_1327,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,Coffea_heimii,95.0,9.0,201.0,7586.0,10.0,10.0,6.0,1.0,6.0
homollei_1332,4326,47.863889,-21.3825,POINT (796967.0982798996 7632811.5735395495),9,0,False,Coffea_homollei,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
homollei_1333,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_homollei,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
homollei_1334,4326,48.581389,-19.163056,POINT (876765.9288461851 7877261.7272780575),9,0,False,Coffea_homollei,635.0,6.0,56.0,7812.0,10.0,11.0,14.0,2.0,56.0
homollei_1335,4326,48.73111,-17.50388,POINT (896305.8727403859 8060816.864561284),9,0,False,Coffea_homollei,1090.0,14.0,214.0,7244.0,10.0,9.0,14.0,2.0,100.0
homollei_1336,4326,48.731111,-17.503889,POINT (896305.9595171411 8060815.865057763),9,0,False,Coffea_homollei,1090.0,14.0,214.0,7244.0,10.0,9.0,14.0,2.0,100.0
homollei_1337,4326,49.2,-17.916667,POINT (945156.8388425774 8014008.34170037),9,0,False,Coffea_homollei,461.0,13.0,219.0,7501.0,10.0,6.0,14.0,2.0,77.0
