specimen_id,latitude,longitude
C_pervilleana_A957_28,-13.416667,48.333333
C_pervilleana_A957_29,-13.587777,48.666667
C_pervilleana_A957_30,-12.53333,49.16667
C_pervilleana_A957_31,-12.37888,49.36583
C_resinosa_A8_1,-23.0,47.0
C_resinosa_A8_2,-23.183333,47.683333
C_resinosa_A8_3,-23.175556,47.699444
C_resinosa_A8_4,-23.17666,47.70027
C_resinosa_A8_5,-23.178611,47.700278
C_resinosa_A8_6,-23.17222,47.70111
C_resinosa_A8_7,-23.175278,47.701944
C_resinosa_A8_8,-23.17222,47.70638
C_resinosa_A8_9,-23.1775,47.70666
C_resinosa_A8_10,-23.170278,47.724167
C_resinosa_A8_11,-23.013667,47.727056
C_resinosa_A8_12,-23.166667,47.733333
C_resinosa_A8_13,-23.089722,47.753611
C_resinosa_A8_14,-23.09,47.755
C_resinosa_A8_15,-23.083889,47.757778
C_resinosa_A8_16,-23.08277,47.76444
C_resinosa_A8_17,-23.082778,47.764444
C_resinosa_A8_18,-23.04,47.77
C_resinosa_A8_19,-23.045858,47.771282
C_resinosa_A8_20,-23.04138,47.77305
C_resinosa_A8_21,-23.042499,47.773055
C_resinosa_A8_22,-23.041389,47.773056
C_resinosa_A8_23,-21.375833,47.8675
C_resinosa_A8_24,-18.791944,48.343055
C_resinosa_A8_25,-20.95027,48.43388
C_resinosa_A8_26,-20.801944,48.482222
C_resinosa_A8_27,-20.76222,48.48527
C_resinosa_A8_28,-20.73944,48.4875
C_resinosa_A8_29,-20.58333,48.53333
C_resinosa_A8_30,-20.3725,48.554167
C_resinosa_A8_31,-20.35944,48.60583
C_resinosa_A8_32,-20.359444,48.605833
C_resinosa_A8_33,-13.58,48.7
C_resinosa_A8_34,-17.0,49.0
C_resinosa_A8_35,-18.85,49.13333
C_resinosa_A8_36,-18.85,49.133333
C_resinosa_A8_37,-18.816667,49.141667
C_resinosa_A8_38,-18.8175,49.141667
C_resinosa_A8_39,-12.483333,49.166667
C_resinosa_A8_40,-18.595,49.23388
C_resinosa_A8_41,-18.595139,49.234
C_resinosa_A8_42,-18.565556,49.256667
C_resinosa_A8_43,-17.28333,49.38333
C_resinosa_A8_44,-17.28333,49.39166
C_resinosa_A8_45,-17.28333,49.4
C_resinosa_A8_46,-17.688889,49.405833
C_resinosa_A8_47,-17.28777,49.41083
C_resinosa_A8_48,-17.287778,49.410833
C_resinosa_A8_49,-17.675,49.49166
C_resinosa_A8_50,-16.9,49.58333
C_resinosa_A8_51,-13.258056,49.606667
C_resinosa_A8_52,-13.2581,49.6067
C_resinosa_A8_53,-15.46666,49.66666
C_resinosa_A8_54,-16.86666,49.66666
C_resinosa_A8_55,-16.765833,49.678333
C_resinosa_A8_56,-16.867389,49.681278
C_resinosa_A8_57,-15.825,49.68333
C_resinosa_A8_58,-15.46666,49.7
C_resinosa_A8_59,-15.88333,49.7
C_resinosa_A8_60,-16.76055,49.70611
C_resinosa_A8_61,-16.760556,49.706111
C_resinosa_A8_62,-16.76111,49.70972
C_resinosa_A8_63,-15.9,49.71666
C_resinosa_A8_64,-16.70194,49.72388
C_resinosa_A8_65,-16.70194,49.72416
C_resinosa_A8_66,-16.69166,49.73333
C_resinosa_A8_67,-16.69166,49.74166
C_resinosa_A8_68,-16.56666,49.81666
C_resinosa_A8_69,-16.45,49.85
C_resinosa_A8_70,-15.35833,49.93333
C_resinosa_A8_71,-14.31666,50.1875
C_richardii_A575_1,-21.3825,47.863889
C_richardii_A575_2,-21.376389,47.8675
C_richardii_A575_3,-19.044722,48.950556
C_richardii_A575_4,-18.824722,48.9525
C_richardii_A575_5,-17.0,49.0
C_richardii_A575_6,-18.006389,49.21
C_richardii_A575_7,-18.198825,49.242218
C_richardii_A575_8,-18.040833,49.2425
C_richardii_A575_9,-18.55944,49.25027
C_richardii_A575_10,-18.56527,49.25611
C_richardii_A575_11,-18.56555,49.25666
C_richardii_A575_12,-18.565556,49.256667
C_richardii_A575_13,-17.956667,49.308889
C_richardii_A575_14,-16.865833,49.3125
