,specimen_id,longitude,latitude,key
8213,magnistipula Stoff. & Robbr._8213,9.79742,0.78119,magnistipula
8214,Psilanthus mannii Hook. f._8214,10.68102,-3.45739,Psilanthus
8215,Psilanthus mannii Hook. f._8215,11.01853,-3.77968,Psilanthus
8216,magnistipula Stoff. & Robbr._8216,9.79742,0.78119,magnistipula
8217,Psilanthus mannii Hook. f._8217,11.01853,-3.77968,Psilanthus
8218,Psilanthus mannii Hook. f._8218,10.68102,-3.45739,Psilanthus
8219,magnistipula Stoff. & Robbr._8219,9.79742,0.78119,magnistipula
8220,magnistipula Stoff. & Robbr._8220,9.79742,0.78119,magnistipula
8221,magnistipula Stoff. & Robbr._8221,9.79742,0.78119,magnistipula
8222,Psilanthus mannii Hook. f._8222,11.01853,-3.77968,Psilanthus
8223,Psilanthus mannii Hook. f._8223,10.68102,-3.45739,Psilanthus
8224,magnistipula Stoff. & Robbr._8224,9.79742,0.78119,magnistipula
8225,Psilanthus mannii Hook. f._8225,11.01853,-3.77968,Psilanthus
8226,Psilanthus mannii Hook. f._8226,10.68102,-3.45739,Psilanthus
8233,rabica_8233,123.980054,13.701156,rabica
8234,bissetiae_8234,47.549289,-15.487327,bissetiae
8235,rabica_8235,-66.94298,18.544205,rabica
8237,rabica_8237,-155.924325,19.489136,rabica
8238,rabica_8238,-89.822845,13.901466,rabica
8239,rabica_8239,-89.808159,13.859208,rabica
8241,rabica_8241,-103.617399,19.402857,rabica
8543,rabica L._8543,-89.14583,14.30917,rabica
8546,perrieri_8546,46.015711,-17.117819,perrieri
8547,rabica_8547,-155.977861,19.706066,rabica
8548,rabica_8548,30.03815,0.350522,rabica
8549,rabica_8549,-155.55574,20.113144,rabica
8550,rabica_8550,-69.442772,19.271177,rabica
8558,rabica_8558,-17.781607,28.809885,rabica
8559,rabica_8559,9.497343,51.141582,rabica
8560,canephora_8560,30.529396,0.225971,canephora
8562,mayombensis A. Chev._8562,10.8489,-3.23073,mayombensis
8563,mayombensis A. Chev._8563,10.8489,-3.23073,mayombensis
8564,mayombensis A. Chev._8564,10.8489,-3.23073,mayombensis
8565,mayombensis A. Chev._8565,10.8489,-3.23073,mayombensis
8566,mayombensis A. Chev._8566,10.8489,-3.23073,mayombensis
8567,mayombensis A. Chev._8567,10.8489,-3.23073,mayombensis
8603,rabica_8603,-66.898588,18.21607,rabica
8604,rabica_8604,-72.515938,-12.380326,rabica
8605,rabica_8605,-66.746125,18.044628,rabica
8606,rabica_8606,110.508437,-7.330523,rabica
8607,rabica_8607,,,rabica
8608,rabica_8608,,,rabica
8624,rabica_8624,80.613091,7.191678,rabica
8625,rabica_8625,-65.762589,18.33963,rabica
8626,rabica_8626,-82.960831,8.81053,rabica
8627,rabica_8627,-65.762604,18.339636,rabica
8628,rabica_8628,-38.433333,-12.433333,rabica
8634,rabica_8634,-158.063003,21.650505,rabica
8635,rabica_8635,-66.746467,18.045122,rabica
8636,rabica_8636,153.10846,-27.469333,rabica
8652,rabica_8652,-83.819443,9.273227,rabica
8653,rabica_8653,98.914017,18.759375,rabica
8654,rabica_8654,-158.15155,21.396133,rabica
8656,rabica_8656,145.606366,-17.516699,rabica
8657,rabica_8657,-92.71133,15.910288,rabica
8658,rabica_8658,-155.945068,19.702209,rabica
8659,rabica_8659,-75.606476,-10.465899,rabica
8660,liberica_8660,-67.008506,18.19447,liberica
8662,rabica_8662,153.300642,-28.803121,rabica
8666,perrieri_8666,46.015693,-17.117573,perrieri
8667,pervilleana_8667,45.920397,-17.077081,pervilleana
8668,rabica_8668,-84.807128,10.30667,rabica
8669,liberica_8669,103.815914,1.31384,liberica
8670,rabica_8670,-84.183838,10.294365,rabica
8671,rabica_8671,-67.13433,18.424,rabica
8672,pervilleana_8672,45.923007,-17.07882,pervilleana
8673,rabica_8673,-66.297334,18.161107,rabica
8680,brevipes Hiern_8680,,,brevipes
8689,rabica_8689,-76.722474,18.076899,rabica
8704,rabica_8704,-46.729929,-23.583427,rabica
8705,rabica_8705,-84.796822,10.285751,rabica
8706,rabica_8706,-95.839897,17.023062,rabica
8707,mayombensis A. Chev._8707,12.82494,0.538945,mayombensis
8708,mayombensis A. Chev._8708,12.82494,0.538945,mayombensis
8709,mayombensis A. Chev._8709,12.82494,0.538945,mayombensis
8710,mayombensis A. Chev._8710,12.82494,0.538945,mayombensis
8712,rabica_8712,-46.728673,-23.583854,rabica
8713,rabica_8713,153.060386,-30.3301,rabica
8714,rabica_8714,101.703505,2.928595,rabica
8715,rabica_8715,-84.346595,10.091866,rabica
8723,rabica_8723,30.738925,-29.77239,rabica
8726,rabica_8726,,,rabica
8727,rabica_8727,-155.662338,19.049622,rabica
8732,rabica_8732,-157.751953,21.294138,rabica
8733,rabica_8733,-64.844142,-17.034071,rabica
8734,rabica_8734,-84.071883,9.939466,rabica
