env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
0.0,114.0,29.0,161.0,69.0,409.0,0.0,0.0,1387.0,0.0,7.0,111.0,0.0,0.0,55.0,0.03
0.0,68.0,96.0,104.0,71.0,226.0,1.0,0.0,1854.0,0.0,6.0,267.0,1.0,0.0,1128.0,0.03
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.01
1.0,73.0,18.0,171.0,59.0,23.0,0.0,0.0,2525.0,1.0,1.0,347.0,0.0,1.0,211.0,0.01
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.04
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.04
1.0,76.0,16.0,173.0,60.0,27.0,0.0,0.0,2512.0,1.0,1.0,173.0,0.0,1.0,92.0,0.04
0.9492031429242517,88.17895378923596,12.214026663928406,146.27217050909104,60.222332273426574,6.1997508272566355,0.005632080578157739,-0.029954802524054257,2415.292408737852,0.00028847938713504463,1.1890772745901126,154.49246088067753,0.011383290305441317,0.9912227890492887,310.58686749926454,0.031157916578407982
-0.0009036369381622908,92.66759713979978,60.87413476974921,106.57854567662989,66.92225453684817,580.9532946631688,-0.007483576453418219,0.00531012758985448,1816.8281957629508,-0.0037056284352653423,7.90823783382225,218.04404573207017,0.0020929985080139187,-0.025862827883655085,261.5380383110664,0.009811330351306158
0.01019290502813833,94.412003084417,68.7577870117262,145.96020687921015,57.930164706407076,8.379525815202845,0.024307423297652068,0.02308262316432606,2189.0500045247677,0.007439303088103341,0.948415159084384,261.4030043283072,0.023022581354886225,-0.04127313772646896,45.22069250217598,0.028117201361137337
0.022219212904474803,59.312829091236054,102.36700099598612,105.38262179602297,66.86260904704717,167.16749371288333,1.0011715010279276,-0.00650637718182411,2475.5385044227187,0.034322351750468966,7.062571874890433,293.65747820439594,0.9868688074508878,-0.037684739157289884,1377.6558976729273,0.03538324544249561
0.01647514672142586,76.57757452861692,103.81673576810644,112.20884056369916,64.16296951363216,16.36481778368845,0.9769295752067861,0.004699343227182318,2232.6753128960963,-0.029829474532375992,1.0804896737888048,177.28854863511498,1.0492282811627331,-0.03519287912405355,630.0598008784378,0.04064113422231434
-0.014593594132204622,67.0488893089482,93.71962803433706,102.93752005336901,70.99906743349875,206.88038125177937,0.9889672398402212,0.0014778129901809336,1873.7304305895827,0.009254655090809994,6.238756324561491,264.03635106312646,1.011636685759771,0.018481131262544918,1128.2062148662994,0.05697007335177017
0.962035107235497,90.67742911619744,-0.7864522116946231,149.42364841149953,62.42451232269537,-18.335685663444405,-0.03295988742582427,-0.0006680512697372441,2223.807769144414,0.003942947341851921,1.1290021675939255,192.1348985092275,-0.03274066302103359,1.0010643859860446,89.99816118778377,0.03019594449973009
0.9732224273949212,77.78435850240739,2.5007210878942123,171.30099645472114,59.99187948661361,34.027873898769,-0.0018753848469048521,0.0033258749081585648,2498.6615810615135,0.9886166940777403,0.9567470541349893,14.733695536835494,-0.048666867991009534,0.9917102917491831,103.2007766548196,0.029845377847013407
-0.0194726539124392,92.6290485638411,61.90370801224398,104.84275176328815,66.8582784837373,537.595203340897,-0.02818267150193058,-0.01952807747971891,1779.3072373947148,-0.01292636031844049,8.021561123513221,208.3520580272697,0.009395916721374166,-0.00934553444402218,264.0941468372676,0.029907452039409508
-0.00976947142657503,76.93197644018667,-0.43854785908955585,49.77947634732138,65.89958853294756,716.7974253865083,-0.000683920576593118,0.015821955716816594,2883.5233900317826,-0.01745362628056495,12.148798391544345,160.45766005411593,0.020642437669356764,0.00289810032498852,285.62423501085857,0.056667176154250015
-0.01423316138382648,99.84959752922336,-1.6080273619298946,82.58614989438465,64.94724514796081,670.5503222068595,0.012859938177838115,0.01046166243926808,1879.4111280233803,-0.014577295260416276,7.956532668625195,222.6062474005458,-0.03459795119291898,-0.006287561250890314,107.4880816476042,0.029515583428273377
